,duration,gross,num_voted_users,cast_total_facebook_likes,budget,imdb_score
52,131.0,101785482.0,381148,19166,190000000.0,4-6
53,154.0,352358779.0,326180,2593,195000000.0,4-6
54,122.0,317011114.0,333847,14959,185000000.0,7-9
56,93.0,237282182.0,273556,5005,185000000.0,7-9
57,122.0,130468626.0,53607,1327,185000000.0,4-6
58,98.0,223806889.0,718837,2975,180000000.0,4-6
59,91.0,140080850.0,121084,1125,140000000.0,4-6
60,158.0,166112167.0,283418,2144,200000000.0,4-6
61,96.0,137850096.0,72809,48878,200000000.0,4-6
62,127.0,47375327.0,139593,47334,176000000.0,4-6
63,110.0,124051759.0,42372,21175,180000000.0,7-9
64,150.0,291709845.0,286506,1317,180000000.0,7-9
65,144.0,154985087.0,148379,49684,178000000.0,7-9
66,152.0,533316061.0,1676169,57802,185000000.0,4-6
67,96.0,292979556.0,665575,2635,175000000.0,7-9
68,94.0,198332128.0,114553,2579,175000000.0,7-9
69,126.0,318298180.0,696338,39252,140000000.0,4-6
70,126.0,73820094.0,245333,36017,170000000.0,4-6
71,106.0,113745408.0,129601,15870,170000000.0,4-6
72,112.0,102176165.0,117927,9131,145000000.0,4-6
73,123.0,161087183.0,118992,11287,175000000.0,7-9
74,96.0,100289690.0,115099,108016,175000000.0,4-6
75,113.0,100189501.0,431620,12652,178000000.0,4-6
76,176.0,88246220.0,144337,1004,175000000.0,7-9
77,118.0,150167630.0,174578,26683,175000000.0,7-9
78,95.0,356454367.0,345198,2944,175000000.0,7-9
79,106.0,362645141.0,106072,32921,175000000.0,4-6
80,124.0,312057433.0,522371,48638,200000000.0,7-9
81,132.0,155111815.0,228554,72881,170000000.0,7-9
82,97.0,241407328.0,252257,15516,180000000.0,4-6
83,130.0,208543795.0,317542,14363,170000000.0,7-9
85,128.0,38297305.0,116994,20965,175000000.0,4-6
86,136.0,259746958.0,496749,36188,170000000.0,7-9
87,93.0,238371987.0,138661,4628,165000000.0,7-9
88,130.0,93417865.0,128306,5046,190000000.0,4-6
89,102.0,222487711.0,279093,2963,165000000.0,4-6
90,101.0,189412677.0,272534,4451,165000000.0,7-9
91,100.0,665426.0,120798,16264,165000000.0,4-6
92,120.0,102315545.0,58137,3233,165000000.0,7-9
93,98.0,217387997.0,485430,20453,165000000.0,7-9
94,109.0,150350192.0,305340,1769,200000000.0,7-9
95,121.0,333130696.0,682155,32438,170000000.0,7-9
96,169.0,187991439.0,928227,31488,165000000.0,4-6
97,148.0,292568851.0,1468200,81115,160000000.0,7-9
99,182.0,303001229.0,637246,9152,180000000.0,4-6
100,106.0,144512310.0,272223,45327,38000000.0,4-6
101,166.0,127490802.0,459346,13333,150000000.0,4-6
102,132.0,146405371.0,518537,50983,160000000.0,4-6
103,137.0,281666058.0,166137,81385,160000000.0,4-6
104,109.0,63143812.0,124185,13388,150000000.0,7-9
105,98.0,60655503.0,82380,92456,160000000.0,4-6
106,113.0,76846624.0,21352,80806,170000000.0,4-6
107,93.0,320706665.0,211971,4705,160000000.0,4-6
108,123.0,46978995.0,111609,5505,160000000.0,7-9
109,126.0,89732035.0,188457,38873,155000000.0,4-6
110,113.0,104383624.0,106446,764,155000000.0,7-9
111,184.0,198539855.0,254111,5401,140000000.0,7-9
112,144.0,318759914.0,513158,2333,150000000.0,4-6
113,206.0,34293771.0,138863,24598,155000000.0,7-9
114,138.0,292000866.0,355137,33433,150000000.0,4-6
115,157.0,289994397.0,385670,53413,150000000.0,7-9
116,102.0,227946274.0,343648,21584,150000000.0,7-9
117,104.0,256386216.0,530870,13076,150000000.0,4-6
118,115.0,206456431.0,320284,57844,150000000.0,4-6
119,111.0,206435493.0,473887,4764,150000000.0,4-6
120,128.0,205343774.0,980946,59558,150000000.0,4-6
121,89.0,179982968.0,146019,3285,150000000.0,7-9
122,105.0,177243721.0,130272,54039,150000000.0,7-9
123,119.0,179883016.0,361924,40054,150000000.0,7-9
124,129.0,139259759.0,364948,1062,150000000.0,7-9
125,102.0,400736600.0,421658,2582,150000000.0,4-6
126,138.0,281492479.0,421818,534,150000000.0,7-9
127,112.0,206360018.0,414070,59803,170000000.0,4-6
128,120.0,153629485.0,552503,40025,150000000.0,4-6
129,146.0,133375846.0,207839,16948,150000000.0,4-6
130,115.0,181015141.0,536314,60059,150000000.0,4-6
131,96.0,114053579.0,146766,20007,150000000.0,7-9
132,88.0,119420252.0,33042,2217,150000000.0,4-6
133,99.0,83640426.0,152826,16184,150000000.0,4-6
134,113.0,79711678.0,199039,80849,100000000.0,4-6
135,131.0,195000874.0,232187,21840,150000000.0,7-9
136,119.0,61937495.0,89442,13071,150000000.0,4-6
137,110.0,124051759.0,42372,21175,180000000.0,4-6
138,91.0,126597121.0,105902,6576,150000000.0,4-6
139,90.0,165230261.0,182718,21015,150000000.0,4-6
140,103.0,131564731.0,118951,2857,150000000.0,4-6
141,124.0,133382309.0,256695,34817,150000000.0,4-6
142,131.0,73103784.0,164238,18204,150000000.0,4-6
143,88.0,21379315.0,17590,2652,150000000.0,7-9
144,85.0,64459316.0,85086,35161,149000000.0,4-6
145,111.0,34964818.0,39956,21393,150000000.0,4-6
146,92.0,111505642.0,47900,5810,145000000.0,4-6
147,196.0,133228348.0,381672,17944,175000000.0,4-6
148,93.0,216366733.0,119213,2444,145000000.0,4-6
149,133.0,160201106.0,169914,2538,142000000.0,4-6
150,116.0,118099659.0,69757,2097,144000000.0,7-9
151,153.0,201573391.0,322395,26029,140000000.0,7-9
152,88.0,190418803.0,270207,14823,140000000.0,7-9
153,115.0,82161969.0,142440,31523,150000000.0,4-6
154,95.0,143523463.0,64322,36095,145000000.0,7-9
155,133.0,209364921.0,365104,21768,145000000.0,4-6
156,97.0,103400692.0,123553,20645,145000000.0,7-9
157,90.0,110332737.0,110788,1997,100000000.0,7-9
158,154.0,111110575.0,317166,11945,140000000.0,7-9
159,150.0,65007045.0,128682,26490,140000000.0,4-6
160,127.0,257704099.0,504419,39284,150000000.0,4-6
161,121.0,403706375.0,544665,40484,139000000.0,7-9
162,102.0,176997107.0,221128,23378,145000000.0,4-6
163,126.0,31141074.0,51892,19769,140000000.0,4-6
164,121.0,31704416.0,45455,2705,135000000.0,4-6
165,215.0,107503316.0,392474,2530,130000000.0,4-6
166,127.0,129734803.0,127497,6171,140000000.0,4-6
167,138.0,132122995.0,212106,1814,137000000.0,4-6
168,122.0,122512052.0,146352,31958,130000000.0,4-6
169,124.0,68642452.0,77673,13073,130000000.0,7-9
170,106.0,32131830.0,72259,15015,137000000.0,4-6
171,124.0,176636816.0,508818,19761,140000000.0,4-6
172,128.0,126930660.0,157519,2037,135000000.0,4-6
173,138.0,93926386.0,168207,1205,150000000.0,4-6
174,115.0,292298923.0,185394,59177,120000000.0,7-9
175,100.0,63992328.0,32399,62644,135000000.0,4-6
176,135.0,134518390.0,326286,5811,150000000.0,7-9
178,117.0,52792307.0,12572,1950,140000000.0,7-9
179,156.0,183635922.0,406020,57108,135000000.0,7-9
180,96.0,83024900.0,62424,17416,135000000.0,7-9
181,107.0,123207194.0,183208,43291,135000000.0,7-9
182,92.0,83348920.0,60230,19963,132000000.0,4-6
183,115.0,227137090.0,491077,17369,110000000.0,4-6
184,92.0,215395021.0,307029,12754,130000000.0,4-6
185,117.0,180191634.0,313866,5730,130000000.0,4-6
186,146.0,424645577.0,498397,49355,130000000.0,4-6
187,115.0,292298923.0,185394,59177,120000000.0,4-6
188,94.0,177343675.0,70121,17883,135000000.0,4-6
189,116.0,234277056.0,334345,12758,132000000.0,7-9
190,147.0,138396624.0,178126,12954,130000000.0,7-9
191,90.0,149234747.0,114287,5046,130000000.0,4-6
192,101.0,118311368.0,245621,12406,110000000.0,4-6
193,138.0,101160529.0,200022,32355,125000000.0,4-6
194,107.0,77564037.0,177383,4631,135000000.0,4-6
195,142.0,249358727.0,382255,33284,130000000.0,7-9
196,165.0,49551662.0,102338,921,130000000.0,7-9
197,100.0,60522097.0,158720,14168,130000000.0,4-6
198,82.0,137748063.0,38438,2945,127500000.0,7-9
200,98.0,113733726.0,67223,53587,127000000.0,4-6
201,95.0,148337537.0,172754,46120,130000000.0,4-6
202,159.0,317557891.0,444683,13191,125000000.0,7-9
203,96.0,33592415.0,91640,31549,130000000.0,7-9
205,143.0,305388685.0,809474,48184,140000000.0,4-6
207,123.0,337103873.0,305008,81385,125000000.0,4-6
208,174.0,217536138.0,314253,16008,125000000.0,4-6
209,101.0,131536019.0,58498,1031,103000000.0,1-3
210,134.0,214948780.0,405973,20952,110000000.0,4-6
211,132.0,209805005.0,284792,55345,125000000.0,4-6
212,129.0,186830669.0,338635,22403,125000000.0,4-6
213,106.0,163192114.0,229679,18003,125000000.0,4-6
214,113.0,119412921.0,240241,1441,65000000.0,4-6
215,102.0,32694788.0,101411,1815,85000000.0,7-9
216,135.0,113165635.0,229823,12175,125000000.0,4-6
217,125.0,107285004.0,189855,2699,125000000.0,7-9
218,110.0,260031035.0,141414,4146,123000000.0,4-6
219,124.0,186739919.0,333248,20553,125000000.0,7-9
220,123.0,215397307.0,242188,11930,125000000.0,4-6
221,130.0,182618434.0,133076,2684,140000000.0,4-6
222,92.0,131920333.0,213275,15302,130000000.0,4-6
223,127.0,124976634.0,440084,2121,120000000.0,4-6
224,123.0,115802596.0,182661,14017,110000000.0,4-6
225,123.0,108521835.0,40123,13752,120000000.0,4-6
226,107.0,100685880.0,100821,4046,120000000.0,4-6
227,124.0,126464904.0,456260,24098,130000000.0,7-9
228,77.0,64736114.0,36471,2682,120000000.0,7-9
229,109.0,93050117.0,338087,17689,115000000.0,4-6
230,134.0,57637485.0,183909,17159,105000000.0,7-9
231,117.0,58607007.0,182899,14161,100000000.0,4-6
232,135.0,43929341.0,57873,902,120000000.0,4-6
233,121.0,30212620.0,35066,993,120000000.0,7-9
234,117.0,76418654.0,148280,12731,117000000.0,4-6
235,124.0,89021735.0,387436,22004,120000000.0,4-6
236,140.0,380262555.0,520104,44042,113000000.0,4-6
237,142.0,310675583.0,464310,42990,115000000.0,7-9
238,92.0,289907418.0,585659,15013,115000000.0,4-6
239,138.0,132550960.0,328067,23755,120000000.0,4-6
240,136.0,474544677.0,534658,37723,115000000.0,4-6
241,98.0,187165546.0,150618,43286,135000000.0,4-6
243,153.0,40911830.0,55994,15046,115000000.0,4-6
244,120.0,47952020.0,37750,46719,115000000.0,7-9
245,101.0,190871240.0,167085,2690,125000000.0,4-6
246,91.0,274084951.0,582917,87,100000000.0,4-6
247,108.0,67155742.0,62271,1569,116000000.0,4-6
248,112.0,81638674.0,17533,8306,135000000.0,7-9
249,100.0,56114221.0,110486,1261,120000000.0,4-6
250,108.0,250863268.0,234480,55486,110000000.0,4-6
251,114.0,155181732.0,147497,16718,110000000.0,4-6
252,119.0,125332007.0,149680,2958,110000000.0,4-6
253,142.0,113330342.0,207613,19454,110000000.0,4-6
254,125.0,125531634.0,284852,19359,110000000.0,4-6
255,126.0,186336103.0,348861,22722,120000000.0,7-9
256,119.0,129995817.0,154621,22622,110000000.0,4-6
257,170.0,102608827.0,264318,34582,110000000.0,1-3
258,85.0,42776259.0,53160,1173,112000000.0,4-6
259,119.0,98780042.0,136019,13391,120000000.0,7-9
261,102.0,106369117.0,225273,10583,110000000.0,4-6
262,103.0,142614158.0,66593,692,110000000.0,4-6
263,76.0,50026353.0,13581,13607,110000000.0,1-3
264,120.0,66002193.0,44296,12452,110000000.0,7-9
265,127.0,85463309.0,254841,22254,110000000.0,7-9
266,105.0,71017784.0,27257,914,105000000.0,4-6
267,121.0,48068396.0,60573,2027,160000000.0,7-9
268,114.0,61656849.0,184561,12908,110000000.0,7-9
269,129.0,134520804.0,336235,13961,110000000.0,4-6
270,171.0,313837577.0,1238746,22342,93000000.0,4-6
271,120.0,24004159.0,68720,3175,110000000.0,4-6
272,165.0,58183966.0,79186,14196,107000000.0,7-9
273,82.0,100446895.0,36033,2762,109000000.0,7-9
274,115.0,144795350.0,387632,12068,120000000.0,7-9
275,194.0,47396698.0,217373,19600,130000000.0,7-9
276,84.0,140015224.0,94172,3382,133000000.0,4-6
277,97.0,104374107.0,89351,2480,105000000.0,7-9
278,151.0,228430993.0,472488,14831,108000000.0,7-9
280,136.0,35799026.0,263329,34839,126000000.0,7-9
281,104.0,6712451.0,4102,3133,90000000.0,4-6
282,127.0,101643008.0,218341,29069,90000000.0,4-6
283,171.0,187670866.0,982637,6521,103000000.0,4-6
284,145.0,132014112.0,399651,12546,102000000.0,4-6
285,174.0,261970615.0,387616,35672,100000000.0,7-9
286,144.0,167007184.0,470483,9125,150000000.0,4-6
287,119.0,180011740.0,177725,2776,100000000.0,7-9
288,153.0,204843350.0,744891,2829,102000000.0,4-6
289,140.0,97030725.0,230931,64599,100000000.0,4-6
290,176.0,130127620.0,324671,20354,100000000.0,4-6
291,141.0,146282411.0,190439,4528,115000000.0,4-6
292,106.0,65452312.0,149998,19906,100000000.0,4-6
293,98.0,148383780.0,85531,24082,100000000.0,4-6
294,116.0,119219978.0,189806,20233,100000000.0,4-6
295,115.0,101228120.0,84424,3454,100000000.0,4-6
296,165.0,162804648.0,955174,40978,100000000.0,7-9
297,91.0,100117603.0,102933,4842,100000000.0,7-9
298,78.0,89296573.0,128285,2039,100000000.0,4-6
299,103.0,85017401.0,246803,57881,92000000.0,7-9
300,131.0,173005002.0,255447,13679,100000000.0,7-9
301,104.0,75030163.0,108076,4487,100000000.0,7-9
302,101.0,77222184.0,87677,1738,100000000.0,1-3
303,111.0,34964818.0,39956,21393,150000000.0,4-6
304,102.0,107515297.0,85833,14552,100000000.0,7-9
305,103.0,67631157.0,176598,55175,100000000.0,4-6
306,121.0,66862068.0,89509,3903,83000000.0,4-6
307,143.0,57366262.0,400292,33160,100000000.0,4-6
308,240.0,116866727.0,780588,46057,100000000.0,1-3
309,121.0,184031112.0,190786,2880,100000000.0,7-9
310,129.0,54700065.0,221521,2031,105000000.0,1-3
311,172.0,27098580.0,284825,22686,102000000.0,4-6
312,101.0,55673333.0,65785,4286,80000000.0,7-9
313,87.0,40198710.0,87451,3144,100000000.0,7-9
314,101.0,72660029.0,115687,16235,100000000.0,4-6
315,95.0,38120554.0,71527,26940,140000000.0,7-9
316,102.0,49392095.0,52029,10552,100000000.0,7-9
317,131.0,39292022.0,127258,52610,90000000.0,4-6
318,114.0,28772222.0,33953,3962,105000000.0,4-6
319,94.0,17010646.0,40751,1195,84000000.0,7-9
320,122.0,24985612.0,71782,28328,100000000.0,4-6
321,95.0,4411102.0,20295,6161,100000000.0,7-9
322,115.0,35024475.0,110364,13761,100000000.0,4-6
323,88.0,130174897.0,27918,309,99000000.0,4-6
324,110.0,10200000.0,18697,1722,10000000.0,4-6
325,130.0,202007640.0,248045,15972,98000000.0,7-9
326,216.0,77679638.0,314033,47657,100000000.0,4-6
327,146.0,9213.0,38690,23240,94000000.0,7-9
328,85.0,58867694.0,54077,25590,100000000.0,7-9
329,93.0,59475623.0,49739,13748,90000000.0,7-9
330,152.0,108638745.0,292022,4270,92000000.0,4-6
331,85.0,86897182.0,106790,9271,95000000.0,4-6
332,126.0,63540020.0,343274,39319,93000000.0,4-6
333,146.0,95328937.0,59581,4555,100000000.0,4-6
334,89.0,50802661.0,58300,3372,95000000.0,7-9
335,88.0,161317423.0,145321,25354,95000000.0,4-6
336,105.0,201148159.0,103737,4671,95000000.0,4-6
337,135.0,43982842.0,125109,2370,65000000.0,4-6
338,100.0,380838870.0,692482,5641,94000000.0,7-9
339,192.0,377019252.0,1215718,6434,94000000.0,4-6
340,172.0,340478898.0,1100446,23052,94000000.0,4-6
341,102.0,17176900.0,54501,17098,95000000.0,7-9
342,100.0,131144183.0,157016,12150,115000000.0,7-9
343,119.0,23014504.0,172707,54031,100000000.0,4-6
344,92.0,181166115.0,219501,2574,93000000.0,4-6
345,105.0,176740650.0,403836,13118,93000000.0,4-6
346,107.0,71148699.0,68935,1614,90000000.0,7-9
347,101.0,67344392.0,165618,15481,92000000.0,7-9
348,137.0,22406362.0,16832,5780,107000000.0,7-9
349,115.0,261437578.0,479166,1901,92000000.0,4-6
350,124.0,11000000.0,21102,3611,98000000.0,7-9
351,118.0,88761720.0,141179,14024,95000000.0,7-9
352,98.0,250147615.0,403014,12998,90000000.0,7-9
353,82.0,245823397.0,385871,21275,90000000.0,7-9
354,98.0,81557479.0,149947,25780,100000000.0,7-9
355,90.0,226138454.0,160440,664,90000000.0,7-9
356,130.0,155370362.0,98403,12890,100000000.0,4-6
357,90.0,124870275.0,152601,1227,100000000.0,4-6
358,94.0,196573705.0,166791,1258,90000000.0,7-9
359,114.0,58229120.0,236421,5095,90000000.0,4-6
360,94.0,125305545.0,145350,15419,92000000.0,4-6
361,151.0,132373442.0,873649,45648,90000000.0,7-9
362,88.0,120618403.0,171792,4478,90000000.0,4-6
363,121.0,110416702.0,307539,23484,92000000.0,7-9
364,158.0,102515793.0,330152,20388,90000000.0,4-6
365,128.0,100012500.0,299258,14274,90000000.0,4-6
366,128.0,209019489.0,477300,23996,90000000.0,4-6
368,95.0,84037039.0,72591,15237,120000000.0,4-6
369,92.0,85884815.0,9418,38450,90000000.0,4-6
370,121.0,83077470.0,183247,14165,75000000.0,7-9
371,113.0,100018837.0,156348,13446,90000000.0,4-6
372,106.0,78747585.0,89770,35367,88000000.0,7-9
373,146.0,78616689.0,238747,6217,100000000.0,4-6
374,88.0,75817994.0,32049,2622,90000000.0,4-6
375,150.0,100853835.0,200556,12289,90000000.0,4-6
376,119.0,73209340.0,101834,2356,95000000.0,4-6
377,128.0,72515360.0,86152,2100,80000000.0,4-6
378,106.0,68558662.0,86627,10882,90000000.0,4-6
379,117.0,65653758.0,102747,33154,95000000.0,7-9
380,129.0,64685359.0,40862,23031,90000000.0,4-6
381,116.0,61355436.0,52136,475,68000000.0,7-9
382,114.0,26871.0,121259,12499,92000000.0,4-6
383,114.0,60874615.0,60467,4902,90000000.0,4-6
384,96.0,143618384.0,165333,12071,90000000.0,7-9
385,132.0,58220776.0,87785,55254,100000000.0,4-6
386,104.0,47474112.0,58227,5062,90000000.0,7-9
387,111.0,42877165.0,45602,26088,86000000.0,4-6
388,138.0,35168677.0,49311,15149,100000000.0,7-9
389,100.0,56114221.0,110486,1261,120000000.0,4-6
390,129.0,37567440.0,113065,2024,20000000.0,7-9
391,144.0,61644321.0,148238,2523,88000000.0,7-9
392,110.0,190562.0,2508,2728,90000000.0,4-6
393,140.0,120147445.0,57661,13808,87000000.0,4-6
394,113.0,241688385.0,144053,26239,92000000.0,4-6
395,106.0,144512310.0,272223,45327,38000000.0,4-6
396,143.0,233630478.0,394317,15838,90000000.0,7-9
397,108.0,197992827.0,132501,70996,100000000.0,4-6
398,108.0,176049130.0,348232,14161,75000000.0,4-6
399,124.0,172620724.0,146134,23603,85000000.0,4-6
400,116.0,183405771.0,402645,13028,85000000.0,4-6
401,110.0,20315324.0,88542,27694,75000000.0,7-9
402,91.0,148313048.0,164148,37142,85000000.0,4-6
403,107.0,127706877.0,142496,662,85000000.0,4-6
405,115.0,126149655.0,166693,36237,85000000.0,4-6
406,100.0,66941559.0,26413,4182,85000000.0,7-9
407,104.0,78009155.0,110073,3768,75000000.0,7-9
408,138.0,63224849.0,182757,17423,85000000.0,4-6
409,140.0,111544445.0,188116,11951,90000000.0,4-6
410,120.0,112703470.0,69860,15226,85000000.0,7-9
411,122.0,117144465.0,256928,43499,85000000.0,4-6
412,83.0,84303558.0,65270,6081,85000000.0,4-6
413,139.0,150832203.0,341058,22226,85000000.0,4-6
414,131.0,51396781.0,188887,5103,68000000.0,7-9
415,104.0,47592825.0,82731,16930,85000000.0,4-6
416,130.0,50016394.0,106528,2407,70000000.0,4-6
417,145.0,57010853.0,119286,2380,85000000.0,4-6
418,104.0,62494975.0,179500,1235,85000000.0,7-9
419,97.0,46440491.0,35446,2707,100000000.0,7-9
420,178.0,44606335.0,169023,23950,90000000.0,4-6
421,108.0,40048332.0,61417,1460,85000000.0,4-6
423,106.0,64933670.0,70838,11454,85000000.0,7-9
424,112.0,31494270.0,273921,12687,60000000.0,7-9
425,135.0,31111260.0,77029,1439,60000000.0,4-6
426,109.0,123307945.0,39391,2818,65000000.0,7-9
427,86.0,153288182.0,71424,6355,84000000.0,4-6
428,95.0,13401683.0,203458,578,35000000.0,7-9
429,107.0,137340146.0,246492,12700,70000000.0,4-6
431,82.0,43575716.0,10233,3326,85000000.0,4-6
432,88.0,80170146.0,243053,21863,85000000.0,4-6
433,120.0,75754670.0,208422,3632,85000000.0,4-6
434,162.0,33048353.0,301279,36928,65000000.0,4-6
435,123.0,34543701.0,100001,5839,82000000.0,4-6
436,101.0,242589580.0,296904,21276,81000000.0,7-9
437,113.0,102981571.0,270226,46355,80000000.0,4-6
438,110.0,180965237.0,300542,12760,80000000.0,4-6
439,142.0,407999255.0,701607,49942,78000000.0,7-9
440,102.0,254455986.0,375879,16143,80000000.0,4-6
441,126.0,162831698.0,215255,2899,80000000.0,7-9
442,83.0,155019340.0,127345,22813,80000000.0,4-6
443,85.0,145771527.0,117212,3112,80000000.0,4-6
445,120.0,140459099.0,135601,22750,75000000.0,7-9
446,116.0,53215979.0,125036,25220,84000000.0,4-6
447,113.0,158115031.0,130070,13693,82000000.0,4-6
448,87.0,133103929.0,22838,4073,75000000.0,4-6
449,101.0,133668525.0,107817,39269,80000000.0,4-6
450,110.0,130313314.0,168172,44798,80000000.0,4-6
451,128.0,124590960.0,91092,22679,80000000.0,4-6
452,138.0,127968405.0,786092,29585,80000000.0,4-6
453,88.0,120136047.0,48500,9913,80000000.0,7-9
454,91.0,128200012.0,103022,1804,75000000.0,4-6
455,138.0,112225777.0,283967,17087,80000000.0,4-6
456,99.0,109993847.0,72326,12831,80000000.0,7-9
457,117.0,104054514.0,200359,16828,80000000.0,4-6
458,117.0,103028109.0,172878,16325,80000000.0,4-6
460,123.0,101087161.0,225282,15362,75000000.0,4-6
461,118.0,101111837.0,150764,5637,80000000.0,7-9
462,154.0,95632614.0,118483,61110,79000000.0,4-6
463,118.0,94822707.0,227072,44797,80000000.0,4-6
464,90.0,92969824.0,63625,50005,80000000.0,4-6
465,113.0,91188905.0,58184,17786,80000000.0,4-6
466,88.0,90443603.0,112167,15001,80000000.0,7-9
467,93.0,82226474.0,65499,1267,65000000.0,4-6
468,104.0,79363785.0,139423,22194,80000000.0,4-6
469,135.0,76081498.0,76099,8355,75000000.0,4-6
470,134.0,85707116.0,303185,20411,68000000.0,4-6
471,98.0,74329966.0,60910,12729,70000000.0,7-9
472,80.0,100169068.0,16385,4394,80000000.0,4-6
473,83.0,73215310.0,44143,14261,80000000.0,4-6
474,102.0,80360866.0,44662,5392,80000000.0,1-3
475,130.0,69102910.0,58402,12186,80000000.0,4-6
476,129.0,65948711.0,86422,20056,80000000.0,4-6
478,89.0,169692572.0,56501,26839,80000000.0,4-6
480,74.0,60507228.0,27543,814,80000000.0,4-6
481,96.0,56684819.0,103787,1919,80000000.0,4-6
482,114.0,50628009.0,22955,10731,90000000.0,4-6
483,99.0,69772969.0,155532,25942,80000000.0,7-9
484,129.0,45356386.0,71574,2864,75000000.0,4-6
485,113.0,55350897.0,83560,49631,85000000.0,4-6
486,90.0,39442871.0,80639,25190,80000000.0,7-9
487,118.0,37899638.0,98472,27114,88000000.0,7-9
488,106.0,37754208.0,172217,22590,70000000.0,4-6
491,89.0,38542418.0,151424,18132,80000000.0,4-6
492,145.0,34566746.0,45231,1825,80000000.0,1-3
493,114.0,32885565.0,53132,25126,80000000.0,4-6
494,87.0,36073232.0,8913,1971,80000000.0,7-9
495,119.0,21471685.0,65464,971,44000000.0,4-6
496,91.0,20950820.0,24183,5593,80000000.0,4-6
497,118.0,19673424.0,37446,619,80000000.0,4-6
498,116.0,19480739.0,53057,43887,80000000.0,4-6
499,177.0,17593391.0,56403,4346,80000000.0,7-9
500,97.0,18318000.0,24868,2521,80000000.0,4-6
501,106.0,27356090.0,58752,16922,90000000.0,4-6
502,106.0,17473245.0,47612,2,70000000.0,4-6
503,94.0,15131330.0,25843,683,86000000.0,7-9
504,104.0,19406406.0,7630,152,40000000.0,7-9
505,102.0,1891821.0,16474,1890,52000000.0,4-6
506,105.0,23219748.0,84508,1099,80000000.0,7-9
508,135.0,170708996.0,610568,2827,58000000.0,4-6
509,73.0,422783777.0,644348,6458,45000000.0,4-6
510,94.0,103812241.0,67296,27842,79000000.0,4-6
511,95.0,119793567.0,64387,848,78000000.0,4-6
512,124.0,92930005.0,204063,35867,78000000.0,7-9
513,136.0,67286731.0,67856,36925,100000000.0,4-6
514,91.0,74158157.0,60370,27405,79000000.0,7-9
515,107.0,127083765.0,191912,25296,76000000.0,4-6
516,108.0,1339152.0,28276,30230,81200000.0,4-6
517,99.0,15071514.0,65037,2323,80000000.0,7-9
518,92.0,26000610.0,16611,28050,76000000.0,4-6
519,87.0,323505540.0,24407,4782,75000000.0,4-6
