,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,country_USA,content_rating_Approved,content_rating_G,content_rating_M,content_rating_NC-17,content_rating_Not Rated,content_rating_PG,content_rating_PG-13,content_rating_Passed,content_rating_R,content_rating_Unrated,content_rating_X
66,645,152,22000,11000,23000,533316061,1676169,57802,4667,185000000,13000,9,1,0,0,0,0,0,0,1,0,0,0,0
67,408,96,0,262,1000,292979556,665575,2635,704,175000000,848,8.3,1,0,0,0,0,0,1,0,0,0,0,0
68,219,94,11,459,1000,198332128,114553,2579,187,175000000,973,6.5,1,0,0,0,0,0,1,0,0,0,0,0
69,486,126,4000,4000,21000,318298180,696338,39252,1055,140000000,12000,7.9,1,0,0,0,0,0,0,1,0,0,0,0
70,682,126,17000,1000,17000,73820094,245333,36017,678,170000000,16000,7.5,1,0,0,0,0,0,1,0,0,0,0,0
71,85,106,188,582,10000,113745408,129601,15870,648,170000000,4000,4.8,1,0,0,0,0,0,0,1,0,0,0,0
72,264,112,357,595,5000,102176165,117927,9131,501,145000000,3000,5.2,1,0,0,0,0,0,0,1,0,0,0,0
73,418,123,452,329,10000,161087183,118992,11287,971,175000000,336,6.9,1,0,0,0,0,0,0,1,0,0,0,0
74,186,96,293,7000,87000,100289690,115099,108016,257,175000000,11000,5.4,1,0,0,0,0,0,1,0,0,0,0,0
75,585,113,218,509,10000,100189501,431620,12652,741,178000000,854,7.9,1,0,0,0,0,0,0,1,0,0,0,0
76,91,176,58,60,711,88246220,144337,1004,309,175000000,60,6.1,1,0,0,0,0,0,0,1,0,0,0,0
77,250,118,208,570,23000,150167630,174578,26683,534,175000000,2000,5.8,1,0,0,0,0,0,0,1,0,0,0,0
78,536,95,0,384,1000,356454367,345198,2944,773,175000000,767,8.3,1,0,0,0,0,0,1,0,0,0,0,0
80,453,124,4000,4000,21000,312057433,522371,48638,723,200000000,19000,7,1,0,0,0,0,0,0,1,0,0,0,0
81,416,132,274,11000,26000,155111815,228554,72881,710,170000000,17000,6.1,1,0,0,0,0,0,0,1,0,0,0,0
82,401,97,171,846,11000,241407328,252257,15516,634,180000000,2000,7,1,0,0,0,0,0,1,0,0,0,0,0
83,521,130,198,884,10000,208543795,317542,14363,620,170000000,2000,7.6,1,0,0,0,0,0,0,1,0,0,0,0
85,218,128,47,982,18000,38297305,116994,20965,324,175000000,1000,6.3,1,0,0,0,0,0,0,1,0,0,0,0
86,576,136,94,2000,19000,259746958,496749,36188,742,170000000,11000,7.8,1,0,0,0,0,0,0,1,0,0,0,0
87,226,93,31,213,4000,238371987,138661,4628,173,165000000,225,6.4,1,0,0,0,0,0,1,0,0,0,0,0
88,443,130,663,604,2000,93417865,128306,5046,497,190000000,638,6.5,1,0,0,0,0,0,1,0,0,0,0,0
89,384,102,38,562,756,222487711,279093,2963,433,165000000,719,7.9,1,0,0,0,0,0,1,0,0,0,0,0
90,377,101,66,833,975,189412677,272534,4451,345,165000000,931,7.8,1,0,0,0,0,0,1,0,0,0,0,0
91,188,100,0,267,15000,665426,120798,16264,444,165000000,726,6.6,1,0,1,0,0,0,0,0,0,0,0,0
92,286,120,776,535,890,102315545,58137,3233,520,165000000,812,5.5,1,0,0,0,0,0,0,1,0,0,0,0
93,288,98,255,759,18000,217387997,485430,20453,492,165000000,953,8.2,1,0,0,0,0,0,1,0,0,0,0,0
94,280,109,84,191,648,150350192,305340,1769,1676,200000000,284,6.4,1,0,0,0,0,0,0,0,0,1,0,0
95,653,121,571,3000,14000,333130696,682155,32438,1097,170000000,14000,8.1,1,0,0,0,0,0,0,1,0,0,0,0
96,712,169,22000,6000,11000,187991439,928227,31488,2725,165000000,11000,8.6,1,0,0,0,0,0,0,1,0,0,0,0
97,642,148,22000,23000,29000,292568851,1468200,81115,2803,160000000,27000,8.8,1,0,0,0,0,0,0,1,0,0,0,0
99,645,182,0,773,5000,303001229,637246,9152,1367,180000000,972,7.9,1,0,0,0,0,0,0,1,0,0,0,0
100,187,106,357,4000,23000,144512310,272223,45327,988,38000000,14000,6.7,1,0,0,0,0,0,0,1,0,0,0,0
101,362,166,21000,919,11000,127490802,459346,13333,822,150000000,1000,7.8,1,0,0,0,0,0,0,1,0,0,0,0
102,500,132,905,1000,34000,146405371,518537,50983,698,160000000,13000,7.8,1,0,0,0,0,0,0,1,0,0,0,0
103,389,137,508,14000,34000,281666058,166137,81385,383,160000000,22000,6.6,1,0,0,0,0,0,0,1,0,0,0,0
104,235,109,226,370,12000,63143812,124185,13388,238,150000000,418,6.1,1,0,0,0,0,0,1,0,0,0,0,0
105,231,98,249,702,87000,60655503,82380,92456,629,160000000,2000,5.6,1,0,0,0,0,0,0,1,0,0,0,0
106,218,113,33,11000,40000,76846624,21352,80806,131,170000000,25000,6.4,1,0,0,0,0,0,1,0,0,0,0,0
107,227,93,50,692,3000,320706665,211971,4705,326,160000000,795,6.1,1,0,0,0,0,0,1,0,0,0,0,0
108,275,123,0,648,3000,46978995,111609,5505,781,160000000,716,7.3,1,0,0,0,0,0,0,1,0,0,0,0
109,474,126,230,2000,24000,89732035,188457,38873,867,155000000,10000,6.6,1,0,0,0,0,0,0,1,0,0,0,0
110,228,113,150,59,531,104383624,106446,764,227,155000000,82,6.3,1,0,0,0,0,0,1,0,0,0,0,0
111,191,184,0,691,3000,198539855,254111,5401,1999,140000000,961,6.1,1,0,0,0,0,0,0,1,0,0,0,0
112,396,144,0,581,662,318759914,513158,2333,1782,150000000,599,7.1,1,0,0,0,0,0,0,1,0,0,0,0
116,318,102,532,979,10000,227946274,343648,21584,590,150000000,9000,6.4,1,0,0,0,0,0,0,1,0,0,0,0
117,323,104,508,558,10000,256386216,530870,13076,1413,150000000,1000,7.2,1,0,0,0,0,0,0,1,0,0,0,0
118,276,115,13000,588,40000,206456431,320284,57844,1361,150000000,16000,6.7,1,0,0,0,0,0,1,0,0,0,0,0
119,318,111,663,954,1000,206435493,473887,4764,626,150000000,1000,8,1,0,1,0,0,0,0,0,0,0,0,0
120,478,128,22000,11000,23000,205343774,980946,59558,2685,150000000,14000,8.3,1,0,0,0,0,0,0,1,0,0,0,0
121,167,89,35,436,1000,179982968,146019,3285,119,150000000,851,6.7,1,0,0,0,0,0,1,0,0,0,0,0
122,185,105,189,1000,49000,177243721,130272,54039,209,150000000,3000,5.9,1,0,0,0,0,0,1,0,0,0,0,0
123,350,119,151,2000,20000,179883016,361924,40054,641,150000000,16000,6.7,1,0,0,0,0,0,0,1,0,0,0,0
125,406,102,69,490,1000,400736600,421658,2582,904,150000000,523,7.6,1,0,0,0,0,0,1,0,0,0,0,0
126,275,138,0,30,234,281492479,421818,534,2789,150000000,198,7.2,1,0,0,0,0,0,0,0,0,1,0,0
127,486,112,230,12000,26000,206360018,414070,59803,532,170000000,20000,7.1,1,0,0,0,0,0,0,1,0,0,0,0
129,298,146,2000,294,15000,133375846,207839,16948,435,150000000,745,6.7,1,0,0,0,0,0,0,1,0,0,0,0
130,516,115,0,12000,26000,181015141,536314,60059,738,150000000,20000,7,1,0,0,0,0,0,0,1,0,0,0,0
131,225,96,59,699,17000,114053579,146766,20007,178,150000000,759,6.9,1,0,0,0,0,0,1,0,0,0,0,0
132,145,88,12,182,730,119420252,33042,2217,90,150000000,607,5.1,1,0,0,0,0,0,1,0,0,0,0,0
133,310,99,473,502,14000,83640426,152826,16184,253,150000000,897,5.8,1,0,0,0,0,0,0,1,0,0,0,0
134,526,113,13000,16000,40000,79711678,199039,80849,479,100000000,17000,6.2,1,0,0,0,0,0,0,1,0,0,0,0
136,357,119,394,162,12000,61937495,89442,13071,432,150000000,490,5.8,1,0,0,0,0,0,0,0,0,1,0,0
137,248,110,282,103,11000,124051759,42372,21175,239,180000000,10000,6.6,1,0,0,0,0,0,0,1,0,0,0,0
138,194,91,58,826,2000,126597121,105902,6576,206,150000000,852,6.2,1,0,0,0,0,0,1,0,0,0,0,0
139,284,90,90,15,11000,165230261,182718,21015,209,150000000,10000,7.3,1,0,0,0,0,0,1,0,0,0,0,0
140,280,103,0,346,1000,131564731,118951,2857,1382,150000000,756,4.2,1,0,0,0,0,0,1,0,0,0,0,0
141,310,124,14000,979,22000,133382309,256695,34817,871,150000000,10000,6.9,1,0,0,0,0,0,0,1,0,0,0,0
142,339,131,776,256,17000,73103784,164238,18204,434,150000000,551,6.4,1,0,0,0,0,0,0,1,0,0,0,0
143,132,88,25,433,921,21379315,17590,2652,112,150000000,562,5.4,1,0,0,0,0,0,1,0,0,0,0,0
145,256,111,456,394,20000,34964818,39956,21393,186,150000000,548,5.8,1,0,0,0,0,0,1,0,0,0,0,0
146,196,92,50,517,3000,111505642,47900,5810,130,145000000,1000,6.9,1,0,0,0,0,0,1,0,0,0,0,0
147,220,196,249,844,11000,133228348,381672,17944,1694,175000000,5000,7.2,1,0,0,0,0,0,0,0,0,1,0,0
148,211,93,35,436,851,216366733,119213,2444,154,145000000,770,6.9,1,0,0,0,0,0,1,0,0,0,0,0
150,464,116,176,322,783,118099659,69757,2097,1211,144000000,370,5.5,1,0,0,0,0,0,0,1,0,0,0,0
151,167,153,0,537,13000,201573391,322395,26029,1171,140000000,12000,6.6,1,0,0,0,0,0,0,1,0,0,0,0
152,208,88,188,826,10000,190418803,270207,14823,606,140000000,3000,6.1,1,0,0,0,0,0,0,1,0,0,0,0
153,287,115,0,964,18000,82161969,142440,31523,505,150000000,12000,6.3,1,0,0,0,0,0,0,1,0,0,0,0
154,210,95,5,967,24000,143523463,64322,36095,145,145000000,11000,7.2,1,0,0,0,0,0,1,0,0,0,0,0
155,432,133,663,690,10000,209364921,365104,21768,512,145000000,10000,7.4,1,0,0,0,0,0,0,1,0,0,0,0
156,256,97,52,161,20000,103400692,123553,20645,174,145000000,315,7.3,1,0,0,0,0,0,1,0,0,0,0,0
157,135,90,23,233,957,110332737,110788,1997,258,100000000,550,6.1,1,0,0,0,0,0,0,1,0,0,0,0
158,190,154,380,445,10000,111110575,317166,11945,928,140000000,956,7.7,1,0,0,0,0,0,0,0,0,1,0,0
160,518,127,14000,981,26000,257704099,504419,39284,1559,150000000,12000,8,1,0,0,0,0,0,0,1,0,0,0,0
161,291,121,0,4000,24000,403706375,544665,40484,2012,139000000,11000,7.3,1,0,0,0,0,0,0,1,0,0,0,0
162,292,102,255,953,18000,176997107,221128,23378,343,145000000,3000,7.9,1,0,0,0,0,0,1,0,0,0,0,0
163,184,126,295,284,18000,31141074,51892,19769,273,140000000,934,5.5,1,0,0,0,0,0,0,1,0,0,0,0
164,145,121,357,653,820,31704416,45455,2705,388,135000000,780,5,1,0,0,0,0,0,0,1,0,0,0,0
165,451,215,0,413,986,107503316,392474,2530,1229,130000000,745,7.7,1,0,0,0,0,0,0,0,0,1,0,0
166,141,127,503,91,5000,129734803,127497,6171,287,140000000,808,6.6,1,0,0,0,0,0,0,0,0,1,0,0
167,267,138,0,258,820,132122995,212106,1814,1445,137000000,300,5.7,1,0,0,0,0,0,0,1,0,0,0,0
168,351,122,209,934,17000,122512052,146352,31958,288,130000000,12000,5.8,1,0,0,0,0,0,0,1,0,0,0,0
170,166,106,6,422,12000,32131830,72259,15015,788,137000000,2000,6.4,1,0,0,0,0,0,0,1,0,0,0,0
171,510,124,394,2000,11000,176636816,508818,19761,679,140000000,3000,6.9,1,0,0,0,0,0,0,1,0,0,0,0
173,244,138,608,168,613,93926386,168207,1205,684,150000000,172,7.4,1,0,0,0,0,0,0,1,0,0,0,0
174,322,115,386,12000,21000,292298923,185394,59177,329,120000000,17000,5.5,1,0,0,0,0,0,0,1,0,0,0,0
176,354,135,255,882,3000,134518390,326286,5811,643,150000000,1000,6.8,1,0,0,0,0,0,0,1,0,0,0,0
179,556,156,0,733,29000,183635922,406020,57108,1188,135000000,27000,8.1,1,0,0,0,0,0,0,0,0,1,0,0
180,166,96,13,463,16000,83024900,62424,17416,90,135000000,881,6.5,1,0,0,0,0,0,1,0,0,0,0,0
181,362,107,563,939,40000,123207194,183208,43291,337,135000000,1000,7.2,1,0,0,0,0,0,1,0,0,0,0,0
182,153,92,35,179,19000,83348920,60230,19963,118,132000000,411,6.7,1,0,0,0,0,0,1,0,0,0,0,0
183,329,115,521,883,13000,227137090,491077,17369,820,110000000,897,8.1,1,0,0,0,0,0,0,1,0,0,0,0
184,266,92,54,562,11000,215395021,307029,12754,360,130000000,967,7.6,1,0,0,0,0,0,1,0,0,0,0,0
185,517,117,235,680,2000,180191634,313866,5730,549,130000000,2000,7.4,1,0,0,0,0,0,0,1,0,0,0,0
186,502,146,508,523,34000,424645577,498397,49355,706,130000000,14000,7.6,1,0,0,0,0,0,0,1,0,0,0,0
187,322,115,386,12000,21000,292298923,185394,59177,329,120000000,17000,5.5,1,0,0,0,0,0,0,1,0,0,0,0
188,165,94,12,183,17000,177343675,70121,17883,214,135000000,523,6.7,1,0,0,0,0,0,1,0,0,0,0,0
189,401,116,14000,807,10000,234277056,334345,12758,2741,132000000,1000,6.5,1,0,0,0,0,0,0,1,0,0,0,0
190,94,147,0,877,10000,138396624,178126,12954,511,130000000,898,6.6,1,0,0,0,0,0,0,0,0,1,0,0
191,246,90,50,397,4000,149234747,114287,5046,137,130000000,442,6.7,1,0,0,0,0,0,1,0,0,0,0,0
192,330,101,176,282,11000,118311368,245621,12406,514,110000000,702,6.4,1,0,0,0,0,0,0,1,0,0,0,0
193,434,138,0,8000,12000,101160529,200022,32355,1240,125000000,9000,5.8,1,0,0,0,0,0,0,1,0,0,0,0
194,440,107,14000,845,2000,77564037,177383,4631,447,135000000,871,7.4,1,0,0,0,0,0,1,0,0,0,0,0
197,349,100,0,894,10000,60522097,158720,14168,744,130000000,943,4.9,1,0,0,0,0,0,0,1,0,0,0,0
198,145,82,0,388,1000,137748063,38438,2945,241,127500000,558,6.5,1,0,0,0,0,0,1,0,0,0,0,0
200,154,98,189,1000,49000,113733726,67223,53587,126,127000000,3000,6.2,1,0,0,0,0,0,1,0,0,0,0,0
201,233,95,96,8000,24000,148337537,172754,46120,187,130000000,11000,7.3,1,0,0,0,0,0,1,0,0,0,0,0
203,208,96,124,1000,16000,33592415,91640,31549,210,130000000,12000,5.6,1,0,0,0,0,0,0,1,0,0,0,0
205,271,143,563,1000,40000,305388685,809474,48184,2113,140000000,5000,8.1,1,0,0,0,0,0,0,1,0,0,0,0
207,403,123,508,14000,34000,337103873,305008,81385,591,125000000,22000,6.7,1,0,0,0,0,0,0,1,0,0,0,0
208,294,174,2000,362,15000,217536138,314253,16008,1966,125000000,574,6.6,1,0,0,0,0,0,0,1,0,0,0,0
209,159,101,107,56,688,131536019,58498,1031,99,103000000,237,6.4,1,0,1,0,0,0,0,0,0,0,0,0
211,342,132,681,12000,23000,209805005,284792,55345,366,125000000,14000,7.3,1,0,0,0,0,0,0,1,0,0,0,0
212,382,129,0,154,21000,186830669,338635,22403,412,125000000,979,7.5,1,0,0,0,0,0,0,1,0,0,0,0
213,344,106,255,850,14000,163192114,229679,18003,637,125000000,1000,5.8,1,0,0,0,0,0,0,1,0,0,0,0
214,196,113,719,217,605,119412921,240241,1441,391,65000000,308,7.5,1,0,0,0,0,0,0,0,0,1,0,0
215,85,102,323,241,845,32694788,101411,1815,546,85000000,372,6.6,1,0,0,0,0,0,0,0,0,1,0,0
216,436,135,209,602,10000,113165635,229823,12175,504,125000000,826,6.7,1,0,0,0,0,0,0,1,0,0,0,0
217,183,125,541,409,920,107285004,189855,2699,1018,125000000,890,3.7,1,0,0,0,0,0,0,1,0,0,0,0
218,175,110,2000,636,1000,260031035,141414,4146,482,123000000,722,6,1,0,0,0,0,0,1,0,0,0,0,0
219,239,124,776,812,15000,186739919,333248,20553,1159,125000000,2000,6.4,1,0,0,0,0,0,0,1,0,0,0,0
220,237,123,610,653,10000,215397307,242188,11930,1426,125000000,794,6.1,1,0,0,0,0,0,0,1,0,0,0,0
221,231,130,249,461,784,182618434,133076,2684,779,140000000,638,6.4,1,0,0,0,0,0,0,1,0,0,0,0
222,262,92,167,702,11000,131920333,213275,15302,436,130000000,2000,5.6,1,0,0,0,0,0,1,0,0,0,0,0
223,552,127,0,341,774,124976634,440084,2121,755,120000000,358,8,1,0,0,0,0,0,1,0,0,0,0,0
224,276,123,160,402,12000,115802596,182661,14017,681,110000000,701,5.2,1,0,0,0,0,0,0,1,0,0,0,0
226,102,107,368,1000,2000,100685880,100821,4046,554,120000000,1000,4.8,1,0,0,0,0,0,0,1,0,0,0,0
227,775,124,0,641,13000,126464904,456260,24098,2326,130000000,9000,7,1,0,0,0,0,0,0,0,0,1,0,0
228,71,77,50,537,886,64736114,36471,2682,69,120000000,799,5.4,1,0,0,0,0,0,1,0,0,0,0,0
229,476,109,662,1000,13000,93050117,338087,17689,814,115000000,2000,6.6,1,0,0,0,0,0,0,0,0,1,0,0
230,207,134,123,567,14000,57637485,183909,17159,666,105000000,850,6.7,1,0,0,0,0,0,0,1,0,0,0,0
231,492,117,294,1000,10000,58607007,182899,14161,630,100000000,2000,6.2,1,0,0,0,0,0,0,1,0,0,0,0
232,284,135,0,87,690,43929341,57873,902,414,120000000,107,6.1,1,0,0,0,0,0,1,0,0,0,0,0
233,168,121,274,157,273,30212620,35066,993,196,120000000,216,5.3,1,0,0,0,0,0,0,1,0,0,0,0
234,283,117,446,877,10000,76418654,148280,12731,348,117000000,973,6.3,1,0,0,0,0,0,0,1,0,0,0,0
235,539,124,364,1000,11000,89021735,387436,22004,892,120000000,10000,7,1,0,0,0,0,0,0,1,0,0,0,0
236,359,140,0,4000,20000,380262555,520104,44042,3286,113000000,16000,7.6,1,0,0,0,0,0,0,1,0,0,0,0
237,284,142,0,4000,20000,310675583,464310,42990,3516,115000000,16000,6.7,1,0,0,0,0,0,1,0,0,0,0,0
238,250,92,0,773,12000,289907418,585659,15013,593,115000000,1000,8.1,1,0,1,0,0,0,0,0,0,0,0,0
239,440,138,446,929,20000,132550960,328067,23755,533,120000000,992,6.7,1,0,0,0,0,0,0,1,0,0,0,0
240,320,136,0,1000,20000,474544677,534658,37723,3597,115000000,14000,6.5,1,0,0,0,0,0,1,0,0,0,0,0
241,257,98,16,12000,16000,187165546,150618,43286,195,135000000,15000,7.3,1,0,0,0,0,0,1,0,0,0,0,0
243,152,153,610,617,12000,40911830,55994,15046,454,115000000,836,6,1,0,0,0,0,0,0,0,0,1,0,0
244,231,120,19,9000,26000,47952020,37750,46719,134,115000000,11000,6.1,1,0,0,0,0,0,0,1,0,0,0,0
245,348,101,473,429,833,190871240,167085,2690,491,125000000,809,5.9,1,0,0,0,0,0,0,1,0,0,0,0
247,93,108,79,268,650,67155742,62271,1569,277,116000000,293,5.8,1,0,0,0,0,0,0,1,0,0,0,0
248,181,112,13,799,5000,81638674,17533,8306,115,135000000,833,6.3,1,0,0,0,0,0,0,1,0,0,0,0
249,369,100,128,78,596,56114221,110486,1261,695,120000000,360,4.3,1,0,0,0,0,0,0,1,0,0,0,0
250,179,108,189,1000,49000,250863268,234480,55486,444,110000000,3000,6.4,1,0,0,0,0,0,1,0,0,0,0,0
251,358,114,62,884,12000,155181732,147497,16718,499,110000000,2000,6.1,1,0,0,0,0,0,0,1,0,0,0,0
253,192,142,776,1000,13000,113330342,207613,19454,1144,110000000,2000,7.1,1,0,0,0,0,0,0,0,0,1,0,0
254,198,125,0,350,11000,125531634,284852,19359,627,110000000,8000,6.4,1,0,0,0,0,0,0,1,0,0,0,0
255,233,126,218,322,11000,186336103,348861,22722,798,120000000,11000,6.5,1,0,0,0,0,0,0,1,0,0,0,0
256,263,119,124,1000,14000,129995817,154621,22622,258,110000000,5000,6.3,1,0,0,0,0,0,0,1,0,0,0,0
257,267,170,17000,827,29000,102608827,264318,34582,799,110000000,3000,7.5,1,0,0,0,0,0,0,1,0,0,0,0
258,184,85,11,116,480,42776259,53160,1173,121,112000000,392,4.9,1,0,0,0,0,0,1,0,0,0,0,0
259,447,119,1000,741,11000,98780042,136019,13391,443,120000000,1000,5.8,1,0,0,0,0,0,0,1,0,0,0,0
261,366,102,263,1000,6000,106369117,225273,10583,523,110000000,1000,6.2,1,0,0,0,0,0,0,0,0,1,0,0
262,172,103,67,111,383,142614158,66593,692,153,110000000,113,5.5,1,0,0,0,0,0,1,0,0,0,0,0
263,104,76,6,421,12000,50026353,13581,13607,88,110000000,513,5.4,1,0,0,0,0,0,1,0,0,0,0,0
264,181,120,124,943,6000,66002193,44296,12452,144,110000000,5000,5.8,1,0,0,0,0,0,0,1,0,0,0,0
265,327,127,189,544,20000,85463309,254841,22254,426,110000000,929,7.1,1,0,0,0,0,0,0,1,0,0,0,0
266,125,105,67,40,681,71017784,27257,914,59,105000000,71,5.4,1,0,0,0,0,0,1,0,0,0,0,0
