rating,ratingDescription,release year,user rating score,user rating size
TV-Y,10,2014,NA,82
TV-Y7-FV,42,2010,73,80
TV-Y,10,2015,NA,82
TV-Y7,41,2009,NA,82
TV-Y7-FV,42,1997,NA,82
TV-Y7-FV,42,2013,NA,82
TV-PG,70,2008,NA,82
TV-Y7-FV,42,2015,67,80
TV-Y7,41,2016,NA,82
TV-Y7,41,1998,88,80
TV-Y7-FV,42,2011,NA,82
G,35,2013,NA,82
TV-PG,70,2012,NA,82
TV-Y,10,2000,74,80
PG,60,2016,74,80
TV-Y7,41,2014,NA,82
PG,60,2014,NA,82
TV-Y7,41,2014,NA,82
TV-Y,10,2015,NA,82
TV-Y7-FV,42,2016,71,80
TV-Y7-FV,42,2016,78,80
TV-Y7-FV,42,2016,NA,82
PG,60,2015,NA,82
TV-G,35,2015,NA,82
TV-Y7-FV,42,2017,NA,82
TV-Y7-FV,42,2017,NA,82
TV-Y7-FV,42,2016,NA,82
TV-Y7,41,2016,NA,82
TV-Y,10,2012,NA,82
TV-Y7-FV,42,2016,NA,82
TV-Y7,41,2014,NA,82
TV-Y7-FV,42,2017,NA,82
TV-Y7-FV,42,2016,83,80
TV-PG,70,2017,NA,82
TV-Y7,41,2015,NA,82
TV-Y7-FV,42,2015,56,80
TV-Y7,41,2016,NA,82
TV-Y7,41,2015,NA,82
TV-Y7,41,2016,NA,82
PG,60,2016,NA,82
G,35,2016,80,80
PG,60,1994,86,80
PG,60,1997,83,80
G,35,1999,95,80
G,35,2000,95,80
PG,60,2002,86,80
PG,60,2002,95,80
PG,60,2004,82,80
G,35,2004,NA,82
G,35,2004,NA,82
PG,60,2005,91,80
G,35,2005,92,80
PG,60,2007,NA,82
PG,60,2007,94,80
PG,60,2008,91,80
PG,60,2009,95,80
TV-G,35,2010,74,80
TV-G,35,2012,89,80
TV-Y,10,2015,68,80
TV-G,35,2015,88,80
TV-G,35,2009,NA,82
TV-Y7,41,2016,85,80
TV-Y,10,2013,81,80
TV-Y,10,2007,67,80
PG,60,2015,94,80
TV-Y,10,2015,NA,82
TV-Y,10,2015,NA,82
TV-Y7-FV,42,2017,88,80
TV-Y,10,2016,NA,82
TV-Y,10,2007,70,80
PG,60,2015,93,80
TV-Y7,41,2017,72,80
TV-Y7-FV,42,2017,NA,82
PG,60,2015,90,80
PG,60,2016,92,80
PG,60,2016,97,80
PG,60,2016,97,80
TV-Y7,41,2017,NA,82
PG,60,2015,72,80
G,35,2016,NA,82
PG,60,2016,92,80
PG,60,2016,96,80
PG,60,2016,98,80
PG,60,2016,NA,81
TV-Y,10,2016,NA,82
TV-Y,10,2015,NA,82
TV-Y,10,2016,77,80
TV-Y,10,2016,NA,82
TV-G,35,2013,NA,82
TV-Y,10,2014,NA,82
TV-G,35,2016,61,80
PG,60,1994,86,80
PG,60,1998,80,80
G,35,1999,95,80
G,35,1999,67,80
G,35,2000,80,80
G,35,2000,95,80
PG,60,2002,95,80
PG,60,2003,64,80
PG,60,1982,68,80
G,35,2004,85,80
G,35,2005,92,80
PG,60,2005,85,80
PG,60,2007,NA,82
PG,60,2007,94,80
PG,60,2008,91,80
TV-G,35,2010,74,80
TV-Y,10,2015,68,80
TV-PG,70,2008,56,80
G,35,2012,NA,82
TV-PG,70,2011,NA,82
TV-Y,10,1997,81,80
TV-Y7,41,1998,88,80
TV-PG,70,2012,NA,82
TV-G,35,2009,NA,82
TV-Y,10,2013,81,80
TV-Y,10,2007,67,80
TV-Y,10,2015,82,80
TV-G,35,2012,85,80
PG,60,2014,70,80
TV-G,35,2015,NA,82
TV-Y,10,2008,NA,82
TV-Y,10,2015,NA,82
TV-Y7-FV,42,2016,71,80
TV-Y,10,2015,NA,82
PG,60,2015,96,80
TV-Y7-FV,42,2017,88,80
TV-Y,10,2007,70,80
PG,60,2015,93,80
TV-Y7-FV,42,2017,NA,82
PG,60,2015,71,80
TV-Y,10,2016,NA,82
PG,60,2016,97,80
PG,60,2016,97,80
TV-Y7,41,2017,NA,82
PG,60,2015,72,80
PG,60,2016,92,80
PG,60,2016,98,80
PG,60,2016,NA,81
TV-Y,10,2016,77,80
TV-G,35,2016,61,80
PG,60,1993,81,80
G,35,1993,96,80
PG,60,1994,86,80
G,35,1997,93,80
G,35,1999,95,80
G,35,2000,95,80
PG,60,2002,86,80
PG,60,2002,95,80
PG,60,1997,75,80
G,35,2005,92,80
G,35,2006,55,80
PG,60,2007,94,80
PG,60,2008,91,80
PG,60,2009,95,80
TV-G,35,2010,74,80
TV-Y,10,2015,68,80
TV-G,35,2015,88,80
G,35,2012,65,80
TV-Y,10,1997,81,80
TV-PG,70,2012,NA,82
TV-Y,10,2013,81,80
TV-Y,10,2015,82,80
TV-G,35,2012,85,80
TV-Y,10,2002,NA,82
PG,60,2015,94,80
PG,60,2014,70,80
TV-Y,10,2015,NA,82
TV-Y,10,2015,NA,82
PG,60,2015,96,80
TV-Y7-FV,42,2017,88,80
TV-Y,10,2007,70,80
PG,60,2015,93,80
TV-Y7-FV,42,2017,NA,82
TV-G,35,2015,84,80
PG,60,2016,92,80
TV-G,35,2016,61,80
PG,60,2016,97,80
PG,60,2016,97,80
PG,60,2015,72,80
G,35,2016,NA,82
PG,60,2016,92,80
PG,60,2016,96,80
PG,60,2016,97,80
PG,60,2016,NA,81
PG,60,2016,93,80
PG,60,2016,96,80
TV-Y,10,2016,77,80
TV-Y,10,2016,NA,82
G,35,2016,80,80
TV-Y7,41,1990,65,80
PG,60,1993,81,80
G,35,1997,93,80
PG,60,1998,80,80
G,35,1998,NA,82
PG,60,1998,81,80
PG,60,1998,NA,82
G,35,1999,95,80
PG,60,2000,91,80
G,35,2000,NA,82
TV-G,35,1998,64,80
G,35,2000,95,80
G,35,1940,61,80
G,35,1986,67,80
G,35,1997,NA,82
G,35,1998,NA,82
G,35,2001,NA,82
G,35,1995,64,80
G,35,2002,NA,82
G,35,1998,NA,82
G,35,1997,NA,82
G,35,1999,NA,82
G,35,1991,NA,82
G,35,1982,NA,82
PG,60,1999,83,80
G,35,2006,57,80
G,35,2006,NA,82
G,35,1976,NA,82
G,35,1990,NA,82
G,35,1993,NA,82
PG,60,2011,NA,82
TV-Y,10,2009,NA,82
TV-PG,70,2011,NA,82
PG,60,2012,NA,82
TV-Y,10,1997,81,80
TV-Y7,41,1997,72,80
TV-G,35,2009,NA,82
TV-G,35,2011,NA,82
PG,60,2013,NA,82
G,35,2014,57,80
PG,60,2013,NA,82
TV-Y7,41,2015,NA,82
G,35,2014,NA,82
TV-G,35,2014,NA,82
TV-G,35,2015,84,80
TV-G,35,2016,NA,82
PG,60,2016,96,80
PG,60,2016,NA,82
TV-Y7,41,2013,NA,82
PG,60,2015,NA,82
TV-Y7,41,1990,65,80
PG,60,1997,83,80
G,35,1997,93,80
G,35,1999,67,80
G,35,1986,67,80
PG,60,2002,86,80
G,35,1992,70,80
G,35,2001,NA,82
G,35,1995,64,80
PG,60,2003,NA,82
G,35,1998,NA,82
G,35,1997,NA,82
G,35,2003,NA,82
G,35,1999,NA,82
G,35,1991,NA,82
PG,60,1999,83,80
TV-Y,10,1993,NA,82
G,35,2014,NA,82
TV-Y7,41,2008,NA,82
G,35,2011,NA,82
PG,60,2012,NA,82
TV-Y7-FV,42,1997,NA,82
TV-Y,10,2013,NA,82
TV-PG,70,2012,NA,82
TV-G,35,2012,NA,82
TV-Y,10,2012,NA,82
TV-Y,10,2002,NA,82
TV-Y,10,2003,NA,82
PG,60,2013,NA,82
PG,60,2014,NA,82
TV-Y7-FV,42,2008,NA,82
PG,60,2014,NA,82
TV-Y,10,2015,NA,82
TV-G,35,2014,NA,82
TV-Y,10,2015,NA,82
TV-Y7-FV,42,2016,NA,82
TV-Y,10,2013,NA,82
PG,60,2013,NA,82
TV-Y,10,2016,NA,82
TV-Y,10,2007,70,80
PG,60,2015,93,80
TV-Y7-FV,42,2017,NA,82
TV-Y7,41,2017,NA,82
TV-Y,10,2010,NA,82
TV-G,35,2016,NA,82
TV-G,35,2013,NA,82
TV-Y,10,2012,NA,82
G,35,2016,NA,82
PG,60,2016,NA,81
TV-Y7,41,2016,NA,82
TV-Y7,41,1990,65,80
PG,60,1993,81,80
G,35,1997,93,80
PG,60,1998,80,80
G,35,1998,NA,82
PG,60,1998,81,80
PG,60,1998,NA,82
G,35,1999,95,80
PG,60,2000,91,80
G,35,2000,NA,82
TV-G,35,1998,64,80
G,35,2000,95,80
G,35,1940,61,80
G,35,1986,67,80
G,35,1997,NA,82
G,35,1998,NA,82
G,35,2001,NA,82
G,35,1995,64,80
G,35,2002,NA,82
G,35,1998,NA,82
G,35,1997,NA,82
G,35,1999,NA,82
G,35,1991,NA,82
G,35,1982,NA,82
PG,60,1999,83,80
G,35,2006,57,80
G,35,2006,NA,82
G,35,1976,NA,82
G,35,1990,NA,82
G,35,1993,NA,82
PG,60,2011,NA,82
TV-Y,10,2009,NA,82
TV-PG,70,2011,NA,82
PG,60,2012,NA,82
TV-Y,10,1997,81,80
TV-Y7,41,1997,72,80
TV-G,35,2009,NA,82
TV-G,35,2011,NA,82
PG,60,2013,NA,82
G,35,2014,57,80
PG,60,2013,NA,82
TV-Y7,41,2015,NA,82
G,35,2014,NA,82
TV-G,35,2014,NA,82
TV-G,35,2015,84,80
TV-G,35,2016,NA,82
PG,60,2016,96,80
PG,60,2016,NA,82
TV-Y7,41,2013,NA,82
PG,60,2015,NA,82
TV-Y7,41,1990,65,80
PG,60,1993,81,80
G,35,1993,96,80
G,35,1997,93,80
PG,60,1998,80,80
G,35,1998,NA,82
PG,60,2000,91,80
G,35,2000,NA,82
G,35,1940,61,80
PG,60,1987,58,80
G,35,1997,NA,82
PG,60,2001,NA,82
PG,60,2001,96,80
G,35,1992,70,80
G,35,2001,NA,82
G,35,1995,64,80
G,35,2002,NA,82
G,35,2002,NA,82
G,35,2003,79,80
G,35,1998,NA,82
G,35,1997,NA,82
PG,60,1982,68,80
G,35,2003,NA,82
G,35,1999,NA,82
G,35,2000,NA,82
G,35,1991,NA,82
G,35,2004,NA,82
G,35,1982,NA,82
PG,60,1999,83,80
G,35,2004,85,80
G,35,2005,NA,82
G,35,2005,NA,82
PG,60,2005,91,80
G,35,2006,57,80
G,35,1976,NA,82
G,35,1990,NA,82
G,35,1993,NA,82
PG,60,2012,NA,82
TV-Y7,41,1997,72,80
TV-G,35,2009,NA,82
TV-G,35,2009,NA,82
TV-G,35,2009,NA,82
G,35,2014,57,80
PG,60,2013,NA,82
G,35,2014,NA,82
PG,60,2014,NA,82
PG,60,2014,NA,82
TV-Y,10,2015,NA,82
G,35,2016,NA,82
PG,60,2016,NA,82
G,35,2016,80,80
PG,60,1993,81,80
PG,60,1997,NA,82
PG,60,1997,83,80
G,35,1997,93,80
PG,60,1998,80,80
G,35,1998,NA,82
PG,60,1998,NA,82
PG,60,2000,91,80
G,35,2000,NA,82
G,35,1986,67,80
PG,60,1987,58,80
PG,60,2001,NA,82
PG,60,1994,71,80
G,35,2001,NA,82
G,35,1995,64,80
G,35,2002,NA,82
PG,60,1994,93,80
PG,60,1995,74,80
G,35,2003,NA,82
G,35,2003,NA,82
PG,60,1982,68,80
G,35,1991,NA,82
PG,60,1994,70,80
PG,60,1989,80,80
PG,60,1999,83,80
G,35,2006,NA,82
PG,60,2006,NA,82
PG,60,2008,NA,82
PG,60,2010,NA,82
TV-PG,70,2009,74,80
TV-Y,10,2009,NA,82
PG,60,2011,NA,82
TV-Y,10,2013,NA,82
G,35,2012,NA,82
TV-Y,10,1997,81,80
TV-PG,70,2013,NA,82
TV-Y,10,2000,74,80
TV-Y,10,2015,NA,82
PG,60,2014,70,80
PG,60,2015,NA,82
TV-Y,10,2013,NA,82
TV-Y7,41,2017,72,80
TV-G,35,2016,NA,82
G,35,2015,NA,82
G,35,2016,NA,82
PG,60,2016,97,80
PG,60,2016,NA,81
TV-G,35,2003,NA,82
TV-G,35,2013,NA,82
G,35,2016,80,80
